,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
17,mFSfqTeU9-M7oKLuW1OTOw,high-side-fairfax,High Side,https://s3-media1.fl.yelpcdn.com/bphoto/VJAQK_iIct_ZEsKOUSZG-A/o.jpg,False,https://www.yelp.com/biz/high-side-fairfax?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,193,"[{'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'taiwanese', 'title': 'Taiwanese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.5,"{'latitude': 38.84587, 'longitude': -77.30642}","['pickup', 'delivery']",$$,"{'address1': '4009 Chain Bridge Rd', 'address2': None, 'address3': '', 'city': 'Fairfax', 'zip_code': '22030', 'country': 'US', 'state': 'VA', 'display_address': ['4009 Chain Bridge Rd', 'Fairfax, VA 22030']}",+17038658181,(703) 865-8181,1390.9971108178697
19,InytIzCTGcS6RLzT7nHskQ,dolce-vita-wine-bar-fairfax,Dolce Vita Wine Bar,https://s3-media1.fl.yelpcdn.com/bphoto/9ju0X1ckAGIKZ2W1sBt_hQ/o.jpg,False,https://www.yelp.com/biz/dolce-vita-wine-bar-fairfax?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,107,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,"{'latitude': 38.854587, 'longitude': -77.317604}",['delivery'],$$,"{'address1': '10824 Fairfax Blvd', 'address2': '', 'address3': '', 'city': 'Fairfax', 'zip_code': '22030', 'country': 'US', 'state': 'VA', 'display_address': ['10824 Fairfax Blvd', 'Fairfax, VA 22030']}",+17033851226,(703) 385-1226,252.9402612490392
20,tWPzvRYPkInB2vokMCbK8Q,east-wind-fairfax,East Wind,https://s3-media2.fl.yelpcdn.com/bphoto/XoUEwpQAVxR5vDg1NkXKhw/o.jpg,False,https://www.yelp.com/biz/east-wind-fairfax?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,391,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]",4.5,"{'latitude': 38.8464, 'longitude': -77.30589}",['delivery'],$$,"{'address1': '10414 Main St', 'address2': '', 'address3': '', 'city': 'Fairfax', 'zip_code': '22030', 'country': 'US', 'state': 'VA', 'display_address': ['10414 Main St', 'Fairfax, VA 22030']}",+17038656989,(703) 865-6989,1386.1887060565605
28,UJgxwQJXfp9xrNZtGeO5KQ,todays-catch-seafood-venue-fairfax,Today's Catch Seafood Venue,https://s3-media1.fl.yelpcdn.com/bphoto/1Ba4BZnROVDBvQBUQ_ySTg/o.jpg,False,https://www.yelp.com/biz/todays-catch-seafood-venue-fairfax?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,82,"[{'alias': 'seafood', 'title': 'Seafood'}]",4.5,"{'latitude': 38.85825, 'longitude': -77.37672}",['delivery'],$$,"{'address1': '4501 Market Commons Dr', 'address2': '', 'address3': '', 'city': 'Fairfax', 'zip_code': '22033', 'country': 'US', 'state': 'VA', 'display_address': ['4501 Market Commons Dr', 'Fairfax, VA 22033']}",+17032222058,(703) 222-2058,5384.776189171442
40,ItItxsYr6ZgnpWWHtVcK8w,plaka-grill-vienna,Plaka Grill,https://s3-media3.fl.yelpcdn.com/bphoto/k5HMv1ACB4uPCWD_0a6k5A/o.jpg,False,https://www.yelp.com/biz/plaka-grill-vienna?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,1135,"[{'alias': 'greek', 'title': 'Greek'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",4.5,"{'latitude': 38.8999, 'longitude': -77.26804}","['pickup', 'delivery']",$$,"{'address1': '110 Lawyers Rd NW', 'address2': '', 'address3': '', 'city': 'Vienna', 'zip_code': '22180', 'country': 'US', 'state': 'VA', 'display_address': ['110 Lawyers Rd NW', 'Vienna, VA 22180']}",+17033193131,(703) 319-3131,6372.516276939862
41,Or_fx0qNeouu1qqXxwqGeQ,mezeh-mediterranean-grill-fairfax-fairfax,Mezeh Mediterranean Grill - Fairfax,https://s3-media1.fl.yelpcdn.com/bphoto/SWiFB2d-pWsgRTL_ZnAdvw/o.jpg,False,https://www.yelp.com/biz/mezeh-mediterranean-grill-fairfax-fairfax?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,135,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}]",4.5,"{'latitude': 38.86213, 'longitude': -77.35606}",['delivery'],$,"{'address1': '11750 Fair Oaks Mall', 'address2': '', 'address3': None, 'city': 'Fairfax', 'zip_code': '22033', 'country': 'US', 'state': 'VA', 'display_address': ['11750 Fair Oaks Mall', 'Fairfax, VA 22033']}",+17033106387,(703) 310-6387,3833.4798812312188
65,yaX7whZ8RpW1y9Xl50H2PA,lil-italian-pizza-fairfax,Lil Italian Pizza,https://s3-media4.fl.yelpcdn.com/bphoto/kX2W47BA5ZZXpwvBYA2NuQ/o.jpg,False,https://www.yelp.com/biz/lil-italian-pizza-fairfax?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,73,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]",4.5,"{'latitude': 38.8439591, 'longitude': -77.2918536}",['delivery'],$,"{'address1': '10014 Main St', 'address2': '', 'address3': '', 'city': 'Fairfax', 'zip_code': '22031', 'country': 'US', 'state': 'VA', 'display_address': ['10014 Main St', 'Fairfax, VA 22031']}",+17035913315,(703) 591-3315,2440.083784686115
80,sKQ2c1ZZf7ThnEROMwwLJg,red-galanga-modern-asian-vienna,Red Galanga Modern Asian,https://s3-media3.fl.yelpcdn.com/bphoto/hTUCuFo4hkO0irZ6NlcVYg/o.jpg,False,https://www.yelp.com/biz/red-galanga-modern-asian-vienna?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,179,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'thai', 'title': 'Thai'}]",4.5,"{'latitude': 38.900941, 'longitude': -77.267389}","['delivery', 'pickup']",$$,"{'address1': '144 Church St NW', 'address2': None, 'address3': '', 'city': 'Vienna', 'zip_code': '22180', 'country': 'US', 'state': 'VA', 'display_address': ['144 Church St NW', 'Vienna, VA 22180']}",+17038654996,(703) 865-4996,6490.5350330162855
101,nThzsm1FTXUxpbB4g4DJgQ,momo-house-vienna,MoMo House,https://s3-media3.fl.yelpcdn.com/bphoto/VQKRD8q9-4jKaNIHPhUdzw/o.jpg,False,https://www.yelp.com/biz/momo-house-vienna?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,183,"[{'alias': 'himalayan', 'title': 'Himalayan/Nepalese'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'halal', 'title': 'Halal'}]",4.5,"{'latitude': 38.90106, 'longitude': -77.26648}",['delivery'],$$,"{'address1': '131A Maple Ave W', 'address2': None, 'address3': '', 'city': 'Vienna', 'zip_code': '22180', 'country': 'US', 'state': 'VA', 'display_address': ['131A Maple Ave W', 'Vienna, VA 22180']}",+15714592614,(571) 459-2614,6546.578864535434
102,UKlJpSSU73N_GdsPI2gNxw,marjan-vienna,Marjan,https://s3-media1.fl.yelpcdn.com/bphoto/a7QpTBKZJhp_XfBra7L1Og/o.jpg,False,https://www.yelp.com/biz/marjan-vienna?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,56,"[{'alias': 'persian', 'title': 'Persian/Iranian'}]",4.5,"{'latitude': 38.90042, 'longitude': -77.26714}",['delivery'],$$,"{'address1': '155 A Maple Ave W', 'address2': None, 'address3': '', 'city': 'Vienna', 'zip_code': '22180', 'country': 'US', 'state': 'VA', 'display_address': ['155 A Maple Ave W', 'Vienna, VA 22180']}",+17032727374,(703) 272-7374,6467.245181117703
103,pLHjc9-dGr8aoxDLCOLHXw,the-italian-gourmet-vienna,The Italian Gourmet,https://s3-media1.fl.yelpcdn.com/bphoto/ZoFuJBa6ItoeE2oI9kJFWQ/o.jpg,False,https://www.yelp.com/biz/the-italian-gourmet-vienna?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,117,"[{'alias': 'catering', 'title': 'Caterers'}, {'alias': 'delis', 'title': 'Delis'}, {'alias': 'gourmet', 'title': 'Specialty Food'}]",4.5,"{'latitude': 38.8950958251953, 'longitude': -77.274772644043}","['pickup', 'delivery']",$,"{'address1': '505 Maple Ave W', 'address2': '', 'address3': '', 'city': 'Vienna', 'zip_code': '22180', 'country': 'US', 'state': 'VA', 'display_address': ['505 Maple Ave W', 'Vienna, VA 22180']}",+17039384141,(703) 938-4141,5582.126050411254
120,J-EmhwNEFqfPp1vDfX-4bw,the-pure-pasty-vienna,The Pure Pasty,https://s3-media2.fl.yelpcdn.com/bphoto/R-Zoo_jAAzwg-wkJ3-uDQA/o.jpg,False,https://www.yelp.com/biz/the-pure-pasty-vienna?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,451,"[{'alias': 'gourmet', 'title': 'Specialty Food'}, {'alias': 'british', 'title': 'British'}]",4.5,"{'latitude': 38.901031, 'longitude': -77.266454}",['pickup'],$,"{'address1': '128 Church St NW', 'address2': 'Ste C', 'address3': '', 'city': 'Vienna', 'zip_code': '22180', 'country': 'US', 'state': 'VA', 'display_address': ['128 Church St NW', 'Ste C', 'Vienna, VA 22180']}",+17032557147,(703) 255-7147,6549.952213785159
121,KSPpsm1Kxxg8Y2sgQKuqSQ,de-clieu-coffee-and-sandwich-fairfax,De Clieu Coffee & Sandwich,https://s3-media3.fl.yelpcdn.com/bphoto/C9lw6W0c14pXz-tk_TNQCA/o.jpg,False,https://www.yelp.com/biz/de-clieu-coffee-and-sandwich-fairfax?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,798,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.5,"{'latitude': 38.845808, 'longitude': -77.305247}",['delivery'],$,"{'address1': '10389 Main St', 'address2': 'Ste B', 'address3': '', 'city': 'Fairfax', 'zip_code': '22030', 'country': 'US', 'state': 'VA', 'display_address': ['10389 Main St', 'Ste B', 'Fairfax, VA 22030']}",+17035910309,(703) 591-0309,1465.9470493825665
140,48-kg7XOgXHFNE_pQRIx7w,the-sandwich-shop-vienna-2,The Sandwich Shop,https://s3-media3.fl.yelpcdn.com/bphoto/3jmolDOn4XoyHYLFNbcjtg/o.jpg,False,https://www.yelp.com/biz/the-sandwich-shop-vienna-2?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,123,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.5,"{'latitude': 38.90114, 'longitude': -77.26717}",['delivery'],$$,"{'address1': '132 Church St NW', 'address2': '', 'address3': None, 'city': 'Vienna', 'zip_code': '22180', 'country': 'US', 'state': 'VA', 'display_address': ['132 Church St NW', 'Vienna, VA 22180']}",+17038655545,(703) 865-5545,6519.3535733250665
142,5YZUKu_oNPchJ4au4jzcUg,maru-korean-cuisine-and-sushi-vienna,Maru Korean Cuisine & Sushi,https://s3-media2.fl.yelpcdn.com/bphoto/uscchlwz3GEyoE-CaD8GLg/o.jpg,False,https://www.yelp.com/biz/maru-korean-cuisine-and-sushi-vienna?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,166,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'japanese', 'title': 'Japanese'}]",4.5,"{'latitude': 38.90061, 'longitude': -77.26598}",['delivery'],$$,"{'address1': '128 Maple Ave W', 'address2': '', 'address3': None, 'city': 'Vienna', 'zip_code': '22180', 'country': 'US', 'state': 'VA', 'display_address': ['128 Maple Ave W', 'Vienna, VA 22180']}",+17032731744,(703) 273-1744,6551.501141838458
161,_OnknsUEZWtI1RerXJjdyg,victorias-cakery-fairfax,Victoria's Cakery,https://s3-media2.fl.yelpcdn.com/bphoto/Y-2e4a4jZ2keDbQrwMEN3w/o.jpg,False,https://www.yelp.com/biz/victorias-cakery-fairfax?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,113,"[{'alias': 'bakeries', 'title': 'Bakeries'}]",4.5,"{'latitude': 38.8463707, 'longitude': -77.3063889}",[],$$,"{'address1': '10430 Main St', 'address2': '', 'address3': '', 'city': 'Fairfax', 'zip_code': '22030', 'country': 'US', 'state': 'VA', 'display_address': ['10430 Main St', 'Fairfax, VA 22030']}",+17032730800,(703) 273-0800,1355.2058462554387
162,VZJxuzrcJesc3glyI2tkpw,smith-and-clarksons-cafe-burke-2,Smith & Clarkson's Cafe,https://s3-media3.fl.yelpcdn.com/bphoto/CYUjrz3wscbFxpq-iDh1vw/o.jpg,False,https://www.yelp.com/biz/smith-and-clarksons-cafe-burke-2?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,65,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",4.5,"{'latitude': 38.78724, 'longitude': -77.29977}","['delivery', 'pickup']",$,"{'address1': '6030 Burke Commons Rd', 'address2': 'Ste H', 'address3': None, 'city': 'Burke', 'zip_code': '22015', 'country': 'US', 'state': 'VA', 'display_address': ['6030 Burke Commons Rd', 'Ste H', 'Burke, VA 22015']}",+17035437701,(703) 543-7701,7711.851685271006
220,2jmq_20EJKo6bV0f4ACRuA,main-street-bagel-deli-fairfax,Main Street Bagel Deli,https://s3-media2.fl.yelpcdn.com/bphoto/yjmEAatLAAy8ukC8ARxnRg/o.jpg,False,https://www.yelp.com/biz/main-street-bagel-deli-fairfax?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,242,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'bagels', 'title': 'Bagels'}]",4.5,"{'latitude': 38.845361, 'longitude': -77.300771}",['delivery'],$,"{'address1': '10268 Main St', 'address2': '', 'address3': '', 'city': 'Fairfax', 'zip_code': '22030', 'country': 'US', 'state': 'VA', 'display_address': ['10268 Main St', 'Fairfax, VA 22030']}",+17035912966,(703) 591-2966,1764.0485028320245
340,g-udNj4Lokt3YNufDvvWng,caffe-amouri-vienna,Caffe Amouri,https://s3-media2.fl.yelpcdn.com/bphoto/tIRzqFTWuiCbQZmso5ZgRw/o.jpg,False,https://www.yelp.com/biz/caffe-amouri-vienna?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,497,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.5,"{'latitude': 38.90252, 'longitude': -77.26557}",['delivery'],$,"{'address1': '107 Church St NE', 'address2': '', 'address3': '', 'city': 'Vienna', 'zip_code': '22180', 'country': 'US', 'state': 'VA', 'display_address': ['107 Church St NE', 'Vienna, VA 22180']}",+17039381623,(703) 938-1623,6714.407300767438
